sequenza,livello,n_eventi,n_chars,frequenza,gamma,gamma_se,gamma_stretto,stimabile,mean_tau,sigma_tau,cv_tau,B_goh,gamma_A1,gamma_A2,tipo,corpus,titolo
on,parole,54,60000,0.0009,1.032596247118565,0.004028159267783079,1.047523087423746,True,1106.8301886792453,958.3840513282493,0.865881741508936,-0.07187929197624426,0.9668151746480463,0.8936874539261762,appaiata,wikipedia,Alexander the Great
him,parole,38,60000,0.0006333333333333333,1.0320460713029482,0.009663662097031962,1.0068840244568287,True,1516.1891891891892,1637.668512751484,1.0801214811637447,0.038517693264202964,1.0208202057410942,1.0209574341263963,appaiata,wikipedia,Alexander the Great
an,parole,33,60000,0.00055,1.1024742281073965,0.008179669742457754,1.0456631951219495,True,1706.15625,1834.835109219407,1.0754203252014034,0.03633978345763985,0.9650066607779401,1.0902340810671542,appaiata,wikipedia,Alexander the Great
who,parole,30,60000,0.0005,1.011137574511369,0.009290434768930765,0.9850414351254603,True,1741.6206896551723,1632.975842131543,0.937618536476424,-0.03219491471062058,0.9149658678283127,0.9930292345128228,appaiata,wikipedia,Alexander the Great
army,parole,28,60000,0.00046666666666666666,1.1369392843319674,0.004920807253403786,1.1179261892389978,True,1706.9259259259259,2126.675374416168,1.2459095864177867,0.10949220213713548,1.0236330363276822,1.212600964152525,appaiata,wikipedia,Alexander the Great
vocali,vc,18359,60000,0.30598333333333333,1.2853572334671077,0.007534124831420512,1.257657290248,True,3.268166466935396,1.6633810259543296,0.5089645961376332,-0.3254121436110746,1.022446007237923,0.9541004457470855,vocali,wikipedia,American Civil War
spazio,lettere,9359,60000,0.15598333333333333,1.1614906249615782,0.00635672561694144,1.1265269174392336,True,6.410985253259243,3.000896711767948,0.4680866658119889,-0.3623173934992546,1.0390612889210384,0.9388833708665812,spazio,wikipedia,American Civil War
e,lettere,6116,60000,0.10193333333333333,1.172232814737527,0.0029593188772425497,1.1628469777629051,True,9.811283728536386,8.43571605934423,0.8597973815402687,-0.07538596400410918,1.0224283289140754,1.019194067642821,lettera,wikipedia,American Civil War
t,lettere,4422,60000,0.0737,1.2254420378617017,0.01721662575757909,1.1183072807237306,True,13.563899570232978,12.284386573113629,0.9056677623942794,-0.0495008833476837,0.9797323660936463,0.9743768102988751,lettera,wikipedia,American Civil War
n,lettere,3952,60000,0.06586666666666667,1.0807000919394276,0.007934249900173,1.0365669746905894,True,15.181726145279676,13.088457767865057,0.8621192111237324,-0.07404509230805943,1.0380304597704402,1.042619078713302,lettera,wikipedia,American Civil War
a,lettere,3875,60000,0.06458333333333334,1.0841530894072906,0.008890510863767307,1.1345382271399527,True,15.486577181208053,13.200550438935927,0.8523865722216482,-0.07968824110040518,0.9589791299179241,0.9690141371203871,lettera,wikipedia,American Civil War
o,lettere,3638,60000,0.06063333333333333,1.0365872338045898,0.004368308602708188,1.024202018833381,True,16.46604344239758,13.879639942768923,0.8429250166455253,-0.08523134795813946,0.8958632651780271,0.9504024108679373,lettera,wikipedia,American Civil War
i,lettere,3450,60000,0.0575,1.1385037057038259,0.004510292588424881,1.1599135778963858,True,17.39025804581038,17.13997167339303,0.9856076677092409,-0.007248326305751647,1.0010994836816158,0.9717623647710453,lettera,wikipedia,American Civil War
r,lettere,3313,60000,0.055216666666666664,1.1088859709361674,0.004676574041927872,1.0806397076365395,True,18.11080917874396,14.921321219985353,0.8238903669471599,-0.09655713755844522,0.9728414793779346,1.015499583798194,lettera,wikipedia,American Civil War
s,lettere,3073,60000,0.05121666666666667,1.2046007972323414,0.010556808045231193,1.138627330841115,True,19.5,19.232235096801045,0.9862684665026177,-0.006913231382845509,0.9458783214442272,0.995240169022539,lettera,wikipedia,American Civil War
