sequenza,livello,n_eventi,frequenza,n_chars,gamma,gamma_se,gamma_stretto,stimabile,mean_tau,sigma_tau,cv_tau,B_goh,gamma_A1,gamma_A2,tipo,label,gruppo,fonte
united,parole,76,0.00152,50000,1.1641465180118455,0.0025965672642583298,1.1855009865471688,True,666.1866666666666,777.7000167391254,1.1673905463020258,0.07723137234663376,0.9802080597453008,1.0609759888828643,keyword,United Kingdom,wikipedia,United Kingdom
kingdom,parole,75,0.0015,50000,1.20161432726585,0.00593807820590086,1.2423172921266359,True,675.1891891891892,779.4506086907462,1.1544180818812588,0.071675076987109,1.0492287346809421,1.077520857125833,keyword,United Kingdom,wikipedia,United Kingdom
ireland,parole,67,0.00134,50000,1.1806414400775456,0.005759915528991211,1.200989208987831,True,741.6818181818181,989.0837431931388,1.333568814748364,0.14294363750500058,0.9418831430680313,1.1373531052197008,keyword,United Kingdom,wikipedia,United Kingdom
uk,parole,67,0.00134,50000,1.1721530257213366,0.007617243120832774,1.1137642941720856,True,753.3939393939394,1638.6421571982455,2.1750137232540463,0.3700814628447603,1.0226736699862211,1.1552245615650294,keyword,United Kingdom,wikipedia,United Kingdom
british,parole,59,0.00118,50000,1.2742726841813257,0.00404364123995204,1.2745892634199947,True,779.051724137931,1488.5782976232288,1.9107566949684025,0.31289344675999764,0.951452442231815,1.2608554980063813,keyword,United Kingdom,wikipedia,United Kingdom
government,parole,51,0.00102,50000,1.369051698279063,0.020478345213128586,1.2262027777665936,True,869.6,1360.0668350924404,1.5640142997843152,0.21997314907009682,1.015654214270338,1.2630133471604557,keyword,United Kingdom,wikipedia,United Kingdom
northern,parole,48,0.00096,50000,1.208489833467023,0.009209966373162433,1.1396279661883217,True,1041.5106382978724,1590.3772846381646,1.5269909169985032,0.2085448402103676,0.9508915955276667,1.1587339550600146,keyword,United Kingdom,wikipedia,United Kingdom
by,parole,75,0.0015,50000,0.9737836846175153,0.014564228637344655,1.0458262560071487,True,666.8378378378378,578.6026158269908,0.8676811407448896,-0.07084660029406172,0.9735657863949312,0.8583912601231821,appaiata,United Kingdom,wikipedia,United Kingdom
with,parole,68,0.00136,50000,1.0109160183610546,0.01960621128432331,1.1278969938758336,True,736.1641791044776,789.5947291320906,1.0725796657107245,0.035018999226664585,0.9291365123931951,1.138976858952475,appaiata,United Kingdom,wikipedia,United Kingdom
as,parole,67,0.00134,50000,1.3009843559288146,0.022200225208771608,1.13950420725596,True,744.439393939394,984.4769189588468,1.3224406539654383,0.13883698316031837,0.923819681515269,1.1086886174051787,appaiata,United Kingdom,wikipedia,United Kingdom
was,parole,56,0.00112,50000,1.179301436892398,0.017178554852126087,1.0930876872907085,True,886.6909090909091,1027.924353621256,1.1592814847680666,0.07376596608254407,0.9292126644315267,1.0552535664868816,appaiata,United Kingdom,wikipedia,United Kingdom
for,parole,51,0.00102,50000,1.2785577945568873,0.008261539771406522,1.2663308933768338,True,963.9,1327.4168600737914,1.3771313000039336,0.1586497556964184,0.9499317964078199,1.1635806394422479,appaiata,United Kingdom,wikipedia,United Kingdom
from,parole,37,0.00074,50000,1.0994110315216767,0.005875616349384248,1.0806310223882274,True,1279.1666666666667,1451.691082840974,1.134872507758416,0.06317590735197123,1.0153977522795088,1.0131883508421913,appaiata,United Kingdom,wikipedia,United Kingdom
it,parole,37,0.00074,50000,1.0434853454125042,0.010580505063037555,1.1165731703453947,True,1368.8333333333333,1661.724293789866,1.2139712361791302,0.09664589705709165,0.9324086849969672,1.0904177527488903,appaiata,United Kingdom,wikipedia,United Kingdom
vocali,vc,15344,0.30688,50000,1.1639239466998088,0.005698465123590872,1.1219671640081281,True,3.258489213322036,1.694824680824894,0.5201259141493418,-0.3156804850071872,0.9866559727747534,0.9456906197061742,vocali,Joseph Stalin,wikipedia,Joseph Stalin
spazio,lettere,7600,0.152,50000,1.0683499602603352,0.012041417106851542,0.9999321066806309,True,6.578760363205685,3.036598117762683,0.461576034103029,-0.36838587479125057,1.001836788900104,0.9544457104910339,spazio,Joseph Stalin,wikipedia,Joseph Stalin
e,lettere,4776,0.09552,50000,1.2164177885848435,0.005386438048409248,1.182796971860217,True,10.469528795811518,9.06889928928452,0.8662184770830049,-0.07168588488422988,0.944286693314934,0.902097100446888,lettera,Joseph Stalin,wikipedia,Joseph Stalin
t,lettere,3502,0.07004,50000,1.2080994848026507,0.005241903477353799,1.176938565013729,True,14.277349328763211,12.240934765914044,0.8573674625480657,-0.07679284811862755,0.9442850102244832,0.9676237754506465,lettera,Joseph Stalin,wikipedia,Joseph Stalin
i,lettere,3406,0.06812,50000,1.1436746038802492,0.014215007308971,1.0832904903410265,True,14.679882525697504,12.87380072053592,0.8769689197444195,-0.06554774506992544,0.8724379561441077,0.9503260408556732,lettera,Joseph Stalin,wikipedia,Joseph Stalin
a,lettere,3313,0.06626,50000,1.0016055452881458,0.015524960721561776,0.9085086607664818,True,15.08574879227053,12.853302442310735,0.8520162054465846,-0.07990415748966483,0.9115758196297038,1.0378677338338644,lettera,Joseph Stalin,wikipedia,Joseph Stalin
n,lettere,3148,0.06296,50000,1.1513165621627515,0.00797516769673832,1.0860895995405642,True,15.870988242770894,13.311845090595414,0.8387533836564243,-0.08769344370854744,1.0085231395240015,1.0367451479606853,lettera,Joseph Stalin,wikipedia,Joseph Stalin
s,lettere,2857,0.05714,50000,1.0784025369916215,0.007341346419994831,1.0521947556611404,True,17.50280112044818,15.94581430665394,0.9110435636513494,-0.046548617750338125,1.022770009012236,0.9491815470253595,lettera,Joseph Stalin,wikipedia,Joseph Stalin
o,lettere,2855,0.0571,50000,1.1157296398488048,0.006873490555164078,1.1074484915371012,True,17.51261387526279,15.653080959775778,0.8938175118385,-0.05606796193283643,1.0098519860203021,0.9959575138239196,lettera,Joseph Stalin,wikipedia,Joseph Stalin
r,lettere,2616,0.05232,50000,1.119986788349652,0.005950464053206649,1.0996364662650429,True,19.11281070745698,16.356207519557785,0.8557719620576952,-0.07771862108660355,1.0571815828871813,0.9832746769889926,lettera,Joseph Stalin,wikipedia,Joseph Stalin
h,lettere,1801,0.03602,50000,1.120518438007242,0.0038432699748842886,1.1240236967408206,True,27.77166666666667,26.041455331364084,0.9376986856399477,-0.03215221996162758,0.979715779025255,1.0308735313067319,lettera,Joseph Stalin,wikipedia,Joseph Stalin
l,lettere,1638,0.03276,50000,1.109668434169137,0.007941304259609906,1.1679929163749148,True,30.499083689676237,28.68406917337978,0.9404895394640715,-0.03066775642210584,0.9960492504415047,0.9433227587632751,lettera,Joseph Stalin,wikipedia,Joseph Stalin
