corpus,titolo,sequenza,tipo,n_eventi,mean_tau,cv_tau,J
letterario,wrnpc_3,spazio,spazio,9733,6.16420057542129,0.5447317215299158,-0.9785845227606094
letterario,wrnpc_3,e,lettera,5978,10.037644303162121,0.8263124892578189,-0.3278998195868882
letterario,wrnpc_3,t,lettera,4025,14.888916500994036,0.9366761240699921,-0.18590840410773637
letterario,wrnpc_3,a,lettera,3744,16.024846379909164,0.8533596565876989,-0.41768828808326286
letterario,wrnpc_3,i,lettera,3392,17.69212621645532,0.8834908273360329,-0.40838297830502596
letterario,wrnpc_3,n,lettera,3388,17.70682019486271,0.8632881045450652,-0.30619337010236936
letterario,wrnpc_3,o,lettera,3316,18.09441930618401,0.9107025924608778,-0.21274402731120426
letterario,wrnpc_3,h,lettera,3222,18.597019559143124,0.8783058107108539,-0.3732316012889768
letterario,wrnpc_3,s,lettera,3076,19.509918699186994,0.9699471942099502,-0.07562211600183238
letterario,wrnpc_3,r,lettera,2664,22.511828764551257,0.9623484791579467,-0.14432406690762364
letterario,wrnpc_3,d,lettera,2129,28.179981203007518,0.9083222667761913,-0.192521622060387
letterario,wrnpc_3,l,lettera,1968,30.478393492628367,1.0210451537250393,0.03252820214306695
letterario,wrnpc_3,m,lettera,1185,50.602195945945944,0.9978950378907019,-0.10891279082257227
letterario,wrnpc_3,u,lettera,1170,51.229255774165956,0.9264200832746003,-0.1941015046789817
letterario,wrnpc_3,w,lettera,1085,55.276752767527675,0.9489680656837639,-0.174362670542495
letterario,wrnpc_3,c,lettera,1068,56.22492970946579,0.9918162755936164,-0.08896550378801993
letterario,wrnpc_3,f,lettera,999,59.88376753507014,1.0425313993102945,-0.0003588622017182682
letterario,wrnpc_3,g,lettera,920,64.9727965179543,0.9336296351907254,-0.15156012855610745
letterario,wrnpc_3,p,lettera,907,66.15121412803532,1.024128925368542,0.060460247896152265
letterario,wrnpc_3,y,lettera,856,70.06432748538012,1.0634682791753047,-0.12854097812044588
letterario,wrnpc_3,the,funzione,490,121.91411042944786,1.266822871703264,-0.21240025805421633
letterario,wrnpc_3,and,funzione,427,140.76760563380282,0.9519853015036405,-0.32510939181553056
letterario,wrnpc_3,to,funzione,287,208.53146853146853,1.0258406820615928,-0.13133417489196225
letterario,wrnpc_3,of,funzione,255,234.27165354330708,1.2345055274072938,-0.04857949131798266
letterario,wrnpc_3,he,funzione,229,261.2675438596491,2.723262667337278,-0.14960972303995912
letterario,wrnpc_3,her,funzione,176,336.1542857142857,2.2457850162458075,0.20319180737331846
