modello,temperatura,sample_id,alpha_o1,alpha_o2,alpha_o2_mescolato,deriva
Qwen3.5-2B-Base,0.7,5,0.80945275590141,0.7016095860662536,0.48471714747596056,0.11168982232190601
Qwen3.5-2B-Base,0.8,1,0.8691735887178955,0.7164174524495527,0.5050673188436346,0.2675985307883444
Qwen3.5-2B-Base,0.8,2,0.8123010740962376,0.6683178922802906,0.4943475809148131,0.15659316484426683
Qwen3.5-2B-Base,0.8,3,0.8640122900514545,0.6573949906751455,0.5024034835207942,0.32322459995134084
Qwen3.5-2B-Base,0.8,4,0.9572630510172653,0.7170568243593441,0.4949371702911946,0.15794819720030454
Qwen3.5-2B-Base,0.8,5,0.6410508826505463,0.5261313701988656,0.48273179475938643,0.17356371501716508
Qwen3.5-2B-Base,0.9,1,0.6385767427544808,0.5859129721822678,0.5122187847023818,0.10773191242553198
Qwen3.5-2B-Base,0.9,2,0.7587617549545708,0.7619781853713826,0.4793066492875965,0.1100117142304025
Qwen3.5-2B-Base,0.9,3,0.6700620751479924,0.6200070931318284,0.5009418030873971,0.12312116236035893
Qwen3.5-2B-Base,0.9,4,0.597966021661778,0.544504495195445,0.48699632653986225,0.0435575824812127
Qwen3.5-2B-Base,0.9,5,0.6992126700663697,0.6085487155763031,0.5210617356108922,0.25332483801907935
Qwen3.5-2B-Base,1.0,1,0.9969945843999769,1.077194367544428,0.4882805466971558,0.47297397183778
Qwen3.5-2B-Base,1.0,2,0.5821437093812225,0.6375096285850307,0.49760796230373194,0.17427852707323774
Qwen3.5-2B-Base,1.0,3,0.648951139973584,0.6123907398122098,0.5302390440005321,0.10277491342865673
Qwen3.5-2B-Base,1.0,4,0.8705542024805161,0.8561962437707968,0.4696969625853825,0.6552336386701838
Qwen3.5-2B-Base,1.0,5,0.7085371048620335,0.7236899835311935,0.49112125652294114,0.4616722312334803
Qwen3.5-2B-Base,1.1,1,0.7372720641786312,0.6728624064888218,0.48643676380697287,0.27519766752950287
Qwen3.5-2B-Base,1.1,2,0.6177793686525199,0.5755144764689611,0.48827088568082755,0.4477777092926206
Qwen3.5-2B-Base,1.1,3,0.6889030248253525,0.5398012299099717,0.46219196565632836,0.42690679066043674
Qwen3.5-2B-Base,1.1,4,0.6512767578929174,0.5610861721725503,0.48875825471862566,0.2630002798748607
Qwen3.5-2B-Base,1.1,5,0.6565077107850907,0.5528765011338507,0.47546078406684833,0.41393567446791674
Qwen3.5-2B-Base,1.2,1,0.5586996536935561,0.529311487445747,0.5207709108172858,0.1282939945842971
Qwen3.5-2B-Base,1.2,2,0.618411282844795,0.5697847470879239,0.47948027414776867,0.2552989389548651
Qwen3.5-2B-Base,1.2,3,0.5695468405673942,0.5634367666726698,0.4888602571888123,0.09395084827211413
Qwen3.5-2B-Base,1.2,4,0.5444793401981668,0.5422188434379218,0.5113464191847388,0.154920289598182
Qwen3.5-2B-Base,1.2,5,0.7285679371237668,0.6430229437760473,0.5264913245398867,0.13563932993949626
Qwen3.5-2B-Base,1.3,1,0.5704062306777451,0.56335506171069,0.5116947398357089,0.09264216770290667
Qwen3.5-2B-Base,1.3,2,0.5556146046577481,0.5595226410135526,0.4924342033215515,0.07702223980605274
Qwen3.5-2B-Base,1.3,3,0.5660887533308763,0.5400120740462693,0.47435850313852823,0.14869697551734432
Qwen3.5-2B-Base,1.3,4,0.5774316344337228,0.603492527341715,0.5091850414646981,0.11733530975774249
Qwen3.5-2B-Base,1.3,5,0.5758382119205162,0.5585413292127374,0.5293624851084516,0.10615594235795149
Qwen3.5-2B-Base,1.4,1,0.5663630552806181,0.5422473539097805,0.4889449416547839,0.11785669016632308
Qwen3.5-2B-Base,1.4,2,0.5661471852962635,0.5429780334428082,0.49312521858625796,0.11607561351918973
Qwen3.5-2B-Base,1.4,3,0.612791260268497,0.5515501370413105,0.5017391698423554,0.13326372186030822
Qwen3.5-2B-Base,1.4,4,0.5917679763249446,0.5688146121779246,0.49059549046380635,0.17449833351406835
Qwen3.5-2B-Base,1.4,5,0.5577724804281741,0.5358097510504504,0.4877400689323076,0.15219278574932407
Qwen3.5-2B-Base,1.5,1,0.6083168782931954,0.5726322214800595,0.4798877282077129,0.10964363881784474
