sequenza,livello,n_eventi,frequenza,n_chars,gamma,gamma_se,gamma_stretto,stimabile,mean_tau,sigma_tau,cv_tau,B_goh,gamma_A1,gamma_A1_sd,gamma_A2,gamma_A2_sd,cv_tau_A2,quota_burstiness,tipo,wordset,label,gruppo,modello,temperature,sample_id,degenerato,params_B,deg_ripetizione,deg_alfabeto,deg_lessico,kgram_unique,lat_frac,voc_ref,n_continuations,file
vocali,vc,14887,0.29774,50000,1.226904557545421,0.013277868344721333,1.132565275756262,True,3.358726320032245,1.5726158744848495,0.46821792686870417,-0.36219560012145974,1.080803900339423,0.0652216485949981,0.9717400796068157,0.06888412779181818,0.4682179268687041,-0.12454540666300759,vocali,auto,umano_0,umano,Guerra e pace,,0,False,,,,,,,,,
spazio,lettere,7917,0.15834,50000,1.1498756418970135,0.013487976208011293,1.0632079935937,True,6.315816068721577,3.535765458234,0.5598271735214886,-0.2821933313834832,0.9619463647571441,0.0979086032702566,0.912464375438228,0.03975910477599987,0.5598271735214887,-0.5840550435935532,spazio,auto,umano_0,umano,Guerra e pace,,0,False,,,,,,,,,
e,lettere,4871,0.09742,50000,0.9584793447328687,0.010947164983455725,1.0037709482005126,True,10.26652977412731,8.477775232962546,0.825768338424089,-0.09542922719664368,0.9953596692781529,0.026955680308882467,1.0152066271102536,0.04655229812029391,0.8257683384240889,,lettera,auto,umano_0,umano,Guerra e pace,,0,False,,,,,,,,,
a,lettere,3285,0.0657,50000,1.0216172841095954,0.005296833616918272,1.0371273769508442,True,15.204323995127893,13.32544325311354,0.8764245787832181,-0.06585685490056588,1.0288470678397557,0.08501128520171511,0.9504031210047965,0.03340576496265817,0.8764245787832182,-2.2943159160862674,lettera,auto,umano_0,umano,Guerra e pace,,0,False,,,,,,,,,
t,lettere,3264,0.06528,50000,1.154179207362017,0.013059113589127874,1.1707193251862955,True,15.29788538155072,14.306023558556745,0.9351634687896039,-0.03350442081823181,0.9249608732333622,0.041022235947466096,0.9932415636108164,0.10611189031962746,0.9351634687896039,-0.04383494055274663,lettera,auto,umano_0,umano,Guerra e pace,,0,False,,,,,,,,,
o,lettere,2864,0.05728,50000,1.1288221949832091,0.010666425080535249,1.0718306135856723,True,17.450925602514843,16.07389095138339,0.921091025055255,-0.04107508385370516,0.9613433989586323,0.054866279880315165,1.0096953390780425,0.04395604707389493,0.921091025055255,0.07526140258133504,lettera,auto,umano_0,umano,Guerra e pace,,0,False,,,,,,,,,
i,lettere,2859,0.05718,50000,1.0992947925867516,0.003451320487652796,1.1052624522911807,True,17.48775367389783,15.554099828777602,0.8894281174599117,-0.058521349141738045,1.051606824748304,0.029435734935418335,0.9848684564794925,0.07068120883889845,0.8894281174599117,-0.15239010149789495,lettera,auto,umano_0,umano,Guerra e pace,,0,False,,,,,,,,,
n,lettere,2850,0.057,50000,1.0530725437813881,0.006116908553872747,1.0682814065154358,True,17.533520533520534,15.402705794199655,0.8784719397768865,-0.06469516932871926,1.0898453706744946,0.025679053064404857,1.0055927855886742,0.02327961016614165,0.8784719397768864,0.10538001742881356,lettera,auto,umano_0,umano,Guerra e pace,,0,False,,,,,,,,,
s,lettere,2480,0.0496,50000,1.136109508227487,0.007664368800058269,1.0823020129542946,True,20.156514723678903,19.41099253696373,0.963013338519314,-0.018841777972117467,1.0226449668425357,0.06383187898844234,0.9649016426983185,0.04146033132524419,0.963013338519314,-0.2578685189503425,lettera,auto,umano_0,umano,Guerra e pace,,0,False,,,,,,,,,
h,lettere,2386,0.04772,50000,0.938077545845632,0.0047718077775883785,0.977130962865797,True,20.952201257861635,18.096642952049834,0.8637108210890088,-0.07312785726669464,1.067504022239467,0.08333220098769514,0.9711033213208372,0.06677614362777483,0.8637108210890089,,lettera,auto,umano_0,umano,Guerra e pace,,0,False,,,,,,,,,
r,lettere,2278,0.04556,50000,0.9658894749146547,0.009086399592379064,1.0301314439086104,True,21.953008344312693,19.82336290845652,0.9029907244394642,-0.05097727188823289,1.0055216481048772,0.0396081025273448,0.9266828883487737,0.04067749691431356,0.9029907244394643,,lettera,auto,umano_0,umano,Guerra e pace,,0,False,,,,,,,,,
d,lettere,1706,0.03412,50000,0.880372672737343,0.007321441553949269,0.9224410644614425,True,29.29032258064516,26.437201816014294,0.9025916919564352,-0.0511976944161886,0.918730313354795,0.03252554101372187,0.9757170035517678,0.023212925700712015,0.9025916919564351,,lettera,auto,umano_0,umano,Guerra e pace,,0,False,,,,,,,,,
l,lettere,1619,0.03238,50000,1.1954485612379884,0.00290630514225991,1.1817909087876561,True,30.868355995055623,32.75205252885353,1.0610235457340078,0.029608369036014572,1.018355527063462,0.036320737348584674,1.0117269569306802,0.057865464787142044,1.0610235457340078,0.06000022131859441,lettera,auto,umano_0,umano,Guerra e pace,,0,False,,,,,,,,,
u,lettere,1008,0.02016,50000,1.0084739967359515,0.014301435854793406,1.0765583352062382,True,49.61866931479643,46.215692439375786,0.9314174095675342,-0.03550894285861397,0.9755910972802336,0.037399698886285325,0.9475478372889846,0.023144323753887856,0.9314174095675342,,lettera,auto,umano_0,umano,Guerra e pace,,0,False,,,,,,,,,
c,lettere,941,0.01882,50000,1.0561482087540635,0.0043214739142865945,1.0734635331283768,True,53.001063829787235,46.90623505511793,0.885005538865355,-0.0610048399135547,0.8840237797986408,0.02773919676623529,0.9122397915274619,0.0877382684569898,0.8850055388653552,-1.5630099413667733,lettera,auto,umano_0,umano,Guerra e pace,,0,False,,,,,,,,,
m,lettere,939,0.01878,50000,1.1095455913419054,0.015534363471619576,1.0129858952338353,True,53.227078891257996,53.019303709539194,0.9960964383910061,-0.0019555977025540877,0.9859386001214409,0.0828355760706557,1.0123781891861052,0.026435521098766013,0.9960964383910061,0.11299577677636843,lettera,auto,umano_0,umano,Guerra e pace,,0,False,,,,,,,,,
p,lettere,890,0.0178,50000,1.1819976819692375,0.01983279834305413,1.0342172262332296,True,56.06299212598425,56.535650799361726,1.0084308499324353,0.004197729751422059,0.9658946906724912,0.07690238331526851,1.0115853533751074,0.08840116409247042,1.0084308499324353,0.06365659853330215,lettera,auto,umano_0,umano,Guerra e pace,,0,False,,,,,,,,,
w,lettere,887,0.01774,50000,1.1076692090392612,0.011602279805366026,1.0207837301880485,True,56.35891647855531,53.56826643633473,0.950484320554984,-0.025386350929971598,1.0432298696475863,0.01588065584093695,0.8917894093072146,0.041341328811547506,0.9504843205549841,-1.0050281938388412,lettera,auto,umano_0,umano,Guerra e pace,,0,False,,,,,,,,,
g,lettere,796,0.01592,50000,1.0068187759638227,0.009450020123852269,0.9583097356841679,True,62.78993710691824,60.64549837306932,0.9658474138905828,-0.017372958790238077,0.9326064822741525,0.06729866636390235,0.9249593992512036,0.05675692203361609,0.9658474138905828,,lettera,auto,umano_0,umano,Guerra e pace,,0,False,,,,,,,,,
y,lettere,773,0.01546,50000,1.1518125041829141,0.004949799192669782,1.1782564602704948,True,64.67746113989638,67.82217811401729,1.0486215277887754,0.023733777630100414,1.0551529516308271,0.04152339308255711,0.9727769261383514,0.02821720481546783,1.0486215277887754,-0.17932036631744339,lettera,auto,umano_0,umano,Guerra e pace,,0,False,,,,,,,,,
f,lettere,689,0.01378,50000,1.046787561544154,0.00828565544219276,1.106458789401225,True,72.46220930232558,83.2129991510786,1.148364091465922,0.06905910038958384,0.9859768974646012,0.06446300028117563,1.0472262813346784,0.09009836723814556,1.1483640914659223,1.0093768466670447,lettera,auto,umano_0,umano,Guerra e pace,,0,False,,,,,,,,,
the,parole,455,0.0091,50000,1.2630608841465083,0.017711756863841542,1.1352846914845238,True,109.23568281938326,103.24870616316296,0.9451921157840015,-0.02817607771040569,1.0909891428633156,0.03844507550786583,0.9480416755570835,0.10641777260280623,0.9451921157840015,-0.19751444465600965,funzione,auto,umano_0,umano,Guerra e pace,,0,False,,,,,,,,,
and,parole,299,0.00598,50000,1.1088222638071465,0.006259479760686606,1.0884232828579774,True,167.04697986577182,141.76992484365178,0.8486829570793135,-0.08185126732587415,1.0207114217401159,0.03014164519301088,1.0184618389230076,0.03460296603697765,0.8486829570793134,0.16965130366820347,funzione,auto,umano_0,umano,Guerra e pace,,0,False,,,,,,,,,
to,parole,298,0.00596,50000,1.0447061847949126,0.012280475979268313,1.1194576149362363,True,165.5151515151515,161.41923532581094,0.9752535272339365,-0.012528251399058303,1.0164899932420381,0.04270560846447744,1.0013754818402945,0.061162076201892054,0.9752535272339365,0.03076714880959784,funzione,auto,umano_0,umano,Guerra e pace,,0,False,,,,,,,,,
of,parole,181,0.00362,50000,1.1539784240323787,0.003928980285281953,1.1391001025942156,True,269.5777777777778,276.24804568292876,1.0247433893110043,0.012220506283230416,0.9178871118629033,0.035535288175834685,1.090062870247813,0.03335508523709365,1.0247433893110043,0.5849057802336938,funzione,auto,umano_0,umano,Guerra e pace,,0,False,,,,,,,,,
he,parole,145,0.0029,50000,1.1717886384773144,0.010836190701255882,1.203811534053109,True,339.6666666666667,426.99706030661326,1.2571061638074972,0.1139096458687555,1.0303048113197752,0.08744582916695798,1.114945649538532,0.07698427917464339,1.2571061638074972,0.6691108943954469,funzione,auto,umano_0,umano,Guerra e pace,,0,False,,,,,,,,,
